setup,shots,model,F1
only_target_from_roberta,0,vanilla,0.019409427885933233
only_target_from_roberta,5,vanilla,0.01025646131609907
only_target_from_roberta,10,vanilla,0.0024577246155548876
only_target_from_roberta,50,vanilla,0.36583440776329423
only_target_from_roberta,100,vanilla,0.5452110075095892
only_target_from_roberta,250,vanilla,0.5793191560692909
only_target_from_roberta,500,vanilla,0.6123718610443557
seq_pretrained_on_source,5,vanilla,0.3114476940868681
seq_pretrained_on_source,10,vanilla,0.39030013339046316
seq_pretrained_on_source,50,vanilla,0.5246157598120388
seq_pretrained_on_source,100,vanilla,0.5492655461092313
seq_pretrained_on_source,250,vanilla,0.5870584874374327
seq_pretrained_on_source,500,vanilla,0.6141861175800697
seq_pretrained_on_source,0,vanilla,0.22612971657577036
only_target_from_roberta,0,implicit_multitask,0.028680956853072426
only_target_from_roberta,5,implicit_multitask,0.01769450517837234
only_target_from_roberta,10,implicit_multitask,0.002080519747936041
only_target_from_roberta,50,implicit_multitask,0.3825177297581891
only_target_from_roberta,100,implicit_multitask,0.543308474264399
only_target_from_roberta,250,implicit_multitask,0.5837212469339657
only_target_from_roberta,500,implicit_multitask,0.6069797033507934
seq_pretrained_on_source,5,implicit_multitask,0.3090666159878748
seq_pretrained_on_source,10,implicit_multitask,0.3951861119476933
seq_pretrained_on_source,50,implicit_multitask,0.5196279510464218
seq_pretrained_on_source,100,implicit_multitask,0.5613502165519555
seq_pretrained_on_source,250,implicit_multitask,0.5914336976717631
seq_pretrained_on_source,500,implicit_multitask,0.6139399282853437
seq_pretrained_on_source,0,implicit_multitask,0.2333698449321798
only_target_from_roberta,0,two_head_multitask,0.023634573524215854
only_target_from_roberta,5,two_head_multitask,0.033794781635459806
only_target_from_roberta,10,two_head_multitask,0.00047089747702350437
only_target_from_roberta,50,two_head_multitask,0.2879349306090294
only_target_from_roberta,100,two_head_multitask,0.5257817894738473
only_target_from_roberta,250,two_head_multitask,0.5643575882004611
only_target_from_roberta,500,two_head_multitask,0.5964002703811506
seq_pretrained_on_source,5,two_head_multitask,0.30315128008879677
seq_pretrained_on_source,10,two_head_multitask,0.3594709500310253
seq_pretrained_on_source,50,two_head_multitask,0.4946939856321265
seq_pretrained_on_source,100,two_head_multitask,0.5192000473434626
seq_pretrained_on_source,250,two_head_multitask,0.5736008886557185
seq_pretrained_on_source,500,two_head_multitask,0.6037313200209081
seq_pretrained_on_source,0,two_head_multitask,0.2405953343814335
