setup,shots,model,F1
only_target_from_roberta,0,vanilla,0.019409427885933233
joint_from_roberta,5,vanilla,0.24579587503574096
joint_from_roberta,10,vanilla,0.25128974856506914
joint_from_roberta,50,vanilla,0.2648440347107671
joint_from_roberta,100,vanilla,0.2859658911407407
joint_from_roberta,250,vanilla,0.33220937478710105
joint_from_roberta,500,vanilla,0.3820385562758512
joint_pretrained_on_source,5,vanilla,0.24750008358462683
joint_pretrained_on_source,10,vanilla,0.2506686570375008
joint_pretrained_on_source,50,vanilla,0.2617056597136834
joint_pretrained_on_source,100,vanilla,0.28329815668222585
joint_pretrained_on_source,250,vanilla,0.3275093692986792
joint_pretrained_on_source,500,vanilla,0.3878998586253444
only_target_from_roberta,5,vanilla,0.0
only_target_from_roberta,10,vanilla,0.0
only_target_from_roberta,50,vanilla,0.4635958424208736
only_target_from_roberta,100,vanilla,0.5101958769047864
only_target_from_roberta,250,vanilla,0.5698204450680652
only_target_from_roberta,500,vanilla,0.5982793473899819
seq_pretrained_on_source,5,vanilla,0.29350393184182677
seq_pretrained_on_source,10,vanilla,0.3715824807578122
seq_pretrained_on_source,50,vanilla,0.5109802710205312
seq_pretrained_on_source,100,vanilla,0.538403532642841
seq_pretrained_on_source,250,vanilla,0.5872906902534586
seq_pretrained_on_source,500,vanilla,0.6104433463300057
joint_from_roberta,0,vanilla,0.019409427885933233
joint_pretrained_on_source,0,vanilla,0.2342246101126126
seq_pretrained_on_source,0,vanilla,0.2342246101126126
only_target_from_roberta,0,implicit_multitask,0.028680956853072426
joint_from_roberta,5,implicit_multitask,0.2500011577969384
joint_from_roberta,10,implicit_multitask,0.2531497109979012
joint_from_roberta,50,implicit_multitask,0.26761072641912975
joint_from_roberta,100,implicit_multitask,0.28636308832264873
joint_from_roberta,250,implicit_multitask,0.32967418801186105
joint_from_roberta,500,implicit_multitask,0.3783813668422803
joint_pretrained_on_source,5,implicit_multitask,0.2478433348520056
joint_pretrained_on_source,10,implicit_multitask,0.24997485073433812
joint_pretrained_on_source,50,implicit_multitask,0.26453724465875955
joint_pretrained_on_source,100,implicit_multitask,0.28345389421289097
joint_pretrained_on_source,250,implicit_multitask,0.3280265338816402
joint_pretrained_on_source,500,implicit_multitask,0.3808928335368058
only_target_from_roberta,5,implicit_multitask,0.0
only_target_from_roberta,10,implicit_multitask,0.0
only_target_from_roberta,50,implicit_multitask,0.46642688362900786
only_target_from_roberta,100,implicit_multitask,0.5287374485462127
only_target_from_roberta,250,implicit_multitask,0.5694308135774451
only_target_from_roberta,500,implicit_multitask,0.5998306906375201
seq_pretrained_on_source,5,implicit_multitask,0.2943877017652642
seq_pretrained_on_source,10,implicit_multitask,0.3736739278848495
seq_pretrained_on_source,50,implicit_multitask,0.5057440211841855
seq_pretrained_on_source,100,implicit_multitask,0.54824531831817
seq_pretrained_on_source,250,implicit_multitask,0.576921210372195
seq_pretrained_on_source,500,implicit_multitask,0.6088139954381221
joint_from_roberta,0,implicit_multitask,0.028680956853072426
joint_pretrained_on_source,0,implicit_multitask,0.23719143071474677
seq_pretrained_on_source,0,implicit_multitask,0.23719143071474677
only_target_from_roberta,0,two_head_multitask,0.023634573524215854
joint_from_roberta,5,two_head_multitask,0.256249762648962
joint_from_roberta,10,two_head_multitask,0.2622000458806359
joint_from_roberta,50,two_head_multitask,0.28339905367456897
joint_from_roberta,100,two_head_multitask,0.3102943012611831
joint_from_roberta,250,two_head_multitask,0.3565027884744061
joint_from_roberta,500,two_head_multitask,0.3983719365635423
joint_pretrained_on_source,5,two_head_multitask,0.25390937232050437
joint_pretrained_on_source,10,two_head_multitask,0.2556338766170281
joint_pretrained_on_source,50,two_head_multitask,0.26657751732535373
joint_pretrained_on_source,100,two_head_multitask,0.28429098362537986
joint_pretrained_on_source,250,two_head_multitask,0.31818532795493215
joint_pretrained_on_source,500,two_head_multitask,0.3687678347841766
only_target_from_roberta,5,two_head_multitask,0.0
only_target_from_roberta,10,two_head_multitask,0.0
only_target_from_roberta,50,two_head_multitask,0.4171460789345609
only_target_from_roberta,100,two_head_multitask,0.5111488565488308
only_target_from_roberta,250,two_head_multitask,0.5503696700254134
only_target_from_roberta,500,two_head_multitask,0.5844951014375652
seq_pretrained_on_source,5,two_head_multitask,0.2756496162429986
seq_pretrained_on_source,10,two_head_multitask,0.3300004692480976
seq_pretrained_on_source,50,two_head_multitask,0.46252790963132756
seq_pretrained_on_source,100,two_head_multitask,0.5008366230906317
seq_pretrained_on_source,250,two_head_multitask,0.5558831954875857
seq_pretrained_on_source,500,two_head_multitask,0.5864549107814186
joint_from_roberta,0,two_head_multitask,0.023634573524215854
joint_pretrained_on_source,0,two_head_multitask,0.2401325575987838
seq_pretrained_on_source,0,two_head_multitask,0.2401325575987838
