setup,shots,model,F1
only_target_from_roberta,0,vanilla,0.04979980025689375
only_target_from_roberta,5,vanilla,0.006771350285420855
only_target_from_roberta,10,vanilla,0.0015888849198117195
only_target_from_roberta,50,vanilla,0.5475221897097755
only_target_from_roberta,100,vanilla,0.6333493276155441
only_target_from_roberta,250,vanilla,0.6612926678324621
only_target_from_roberta,500,vanilla,0.6703300730087803
seq_pretrained_on_source,5,vanilla,0.4689832650284086
seq_pretrained_on_source,10,vanilla,0.5324401333491676
seq_pretrained_on_source,50,vanilla,0.595493388585407
seq_pretrained_on_source,100,vanilla,0.612009335518987
seq_pretrained_on_source,250,vanilla,0.6402939302142131
seq_pretrained_on_source,500,vanilla,0.6612635644839545
seq_pretrained_on_source,0,vanilla,0.3964450215934114
only_target_from_roberta,0,implicit_multitask,0.06670489094499332
only_target_from_roberta,5,implicit_multitask,0.012234912119359233
only_target_from_roberta,10,implicit_multitask,0.0
only_target_from_roberta,50,implicit_multitask,0.5571650439448883
only_target_from_roberta,100,implicit_multitask,0.6380571296557502
only_target_from_roberta,250,implicit_multitask,0.6614554996949107
only_target_from_roberta,500,implicit_multitask,0.6738984798574268
seq_pretrained_on_source,5,implicit_multitask,0.48006707032207324
seq_pretrained_on_source,10,implicit_multitask,0.5307669413955912
seq_pretrained_on_source,50,implicit_multitask,0.5997451273383166
seq_pretrained_on_source,100,implicit_multitask,0.6145740972378753
seq_pretrained_on_source,250,implicit_multitask,0.6446924311645763
seq_pretrained_on_source,500,implicit_multitask,0.6613773934747326
seq_pretrained_on_source,0,implicit_multitask,0.4048784139796189
only_target_from_roberta,0,two_head_multitask,0.05058858153103818
only_target_from_roberta,5,two_head_multitask,0.03710149194113898
only_target_from_roberta,10,two_head_multitask,0.00251425116777908
only_target_from_roberta,50,two_head_multitask,0.5517386807651297
only_target_from_roberta,100,two_head_multitask,0.6228626975089435
only_target_from_roberta,250,two_head_multitask,0.6495171320290005
only_target_from_roberta,500,two_head_multitask,0.6705331048918151
seq_pretrained_on_source,5,two_head_multitask,0.46762640239532327
seq_pretrained_on_source,10,two_head_multitask,0.5090784080991073
seq_pretrained_on_source,50,two_head_multitask,0.5770198140454317
seq_pretrained_on_source,100,two_head_multitask,0.5986396038777931
seq_pretrained_on_source,250,two_head_multitask,0.6271761934634958
seq_pretrained_on_source,500,two_head_multitask,0.6451661404779706
seq_pretrained_on_source,0,two_head_multitask,0.3893946469415925
