setup,shots,model,F1
only_target_from_roberta,0,vanilla,0.04979980025689375
joint_from_roberta,5,vanilla,0.4506330430183203
joint_from_roberta,10,vanilla,0.48170651524029245
joint_from_roberta,50,vanilla,0.56630152988929
joint_from_roberta,100,vanilla,0.5974709363321984
joint_from_roberta,250,vanilla,0.6283247810928022
joint_from_roberta,500,vanilla,0.6493185953441133
joint_pretrained_on_source,5,vanilla,0.4331953020473836
joint_pretrained_on_source,10,vanilla,0.44849779716618626
joint_pretrained_on_source,50,vanilla,0.5237591068093217
joint_pretrained_on_source,100,vanilla,0.5694208259728406
joint_pretrained_on_source,250,vanilla,0.6083504334961526
joint_pretrained_on_source,500,vanilla,0.6368257023810145
only_target_from_roberta,5,vanilla,0.0
only_target_from_roberta,10,vanilla,0.0
only_target_from_roberta,50,vanilla,0.6072865906155713
only_target_from_roberta,100,vanilla,0.6260096628122405
only_target_from_roberta,250,vanilla,0.6488173657057861
only_target_from_roberta,500,vanilla,0.6597982537542996
seq_pretrained_on_source,5,vanilla,0.45815323615312753
seq_pretrained_on_source,10,vanilla,0.5117543898599455
seq_pretrained_on_source,50,vanilla,0.5810369443003378
seq_pretrained_on_source,100,vanilla,0.6051886451769798
seq_pretrained_on_source,250,vanilla,0.631035356807472
seq_pretrained_on_source,500,vanilla,0.6525547763731725
joint_from_roberta,0,vanilla,0.04979980025689375
joint_pretrained_on_source,0,vanilla,0.3919087483027212
seq_pretrained_on_source,0,vanilla,0.3919087483027212
only_target_from_roberta,0,implicit_multitask,0.06670489094499332
joint_from_roberta,5,implicit_multitask,0.45494925852536694
joint_from_roberta,10,implicit_multitask,0.48406850208395236
joint_from_roberta,50,implicit_multitask,0.5749206774081599
joint_from_roberta,100,implicit_multitask,0.6020682898993975
joint_from_roberta,250,implicit_multitask,0.6286415652543649
joint_from_roberta,500,implicit_multitask,0.6493885024476358
joint_pretrained_on_source,5,implicit_multitask,0.4356573508321057
joint_pretrained_on_source,10,implicit_multitask,0.45081690580937467
joint_pretrained_on_source,50,implicit_multitask,0.5359700215953985
joint_pretrained_on_source,100,implicit_multitask,0.5727456917354147
joint_pretrained_on_source,250,implicit_multitask,0.6110092119736245
joint_pretrained_on_source,500,implicit_multitask,0.6411888601820672
only_target_from_roberta,5,implicit_multitask,0.0
only_target_from_roberta,10,implicit_multitask,0.0
only_target_from_roberta,50,implicit_multitask,0.6008428278554813
only_target_from_roberta,100,implicit_multitask,0.6321787611335947
only_target_from_roberta,250,implicit_multitask,0.653989949632892
only_target_from_roberta,500,implicit_multitask,0.6575124237859202
seq_pretrained_on_source,5,implicit_multitask,0.4662756756777315
seq_pretrained_on_source,10,implicit_multitask,0.5207328929757559
seq_pretrained_on_source,50,implicit_multitask,0.5922118742285536
seq_pretrained_on_source,100,implicit_multitask,0.6155817113876881
seq_pretrained_on_source,250,implicit_multitask,0.6438726096738806
seq_pretrained_on_source,500,implicit_multitask,0.6521655458006886
joint_from_roberta,0,implicit_multitask,0.06670489094499332
joint_pretrained_on_source,0,implicit_multitask,0.3991610011648437
seq_pretrained_on_source,0,implicit_multitask,0.3991610011648437
only_target_from_roberta,0,two_head_multitask,0.05058858153103818
joint_from_roberta,5,two_head_multitask,0.45729172205591834
joint_from_roberta,10,two_head_multitask,0.48356584219322557
joint_from_roberta,50,two_head_multitask,0.5672105704790862
joint_from_roberta,100,two_head_multitask,0.5964754511379716
joint_from_roberta,250,two_head_multitask,0.6294919580693775
joint_from_roberta,500,two_head_multitask,0.6462274667195474
joint_pretrained_on_source,5,two_head_multitask,0.44037104710138253
joint_pretrained_on_source,10,two_head_multitask,0.4497039127205629
joint_pretrained_on_source,50,two_head_multitask,0.5072494828019437
joint_pretrained_on_source,100,two_head_multitask,0.5505895088915601
joint_pretrained_on_source,250,two_head_multitask,0.5917116284377808
joint_pretrained_on_source,500,two_head_multitask,0.6213145993117872
only_target_from_roberta,5,two_head_multitask,0.0
only_target_from_roberta,10,two_head_multitask,0.0
only_target_from_roberta,50,two_head_multitask,0.5965054995297121
only_target_from_roberta,100,two_head_multitask,0.6108036735730661
only_target_from_roberta,250,two_head_multitask,0.6422176604707386
only_target_from_roberta,500,two_head_multitask,0.6658412788620722
seq_pretrained_on_source,5,two_head_multitask,0.44807710928497313
seq_pretrained_on_source,10,two_head_multitask,0.48983206283162656
seq_pretrained_on_source,50,two_head_multitask,0.5679639462153862
seq_pretrained_on_source,100,two_head_multitask,0.5837218061692522
seq_pretrained_on_source,250,two_head_multitask,0.6067401815158253
seq_pretrained_on_source,500,two_head_multitask,0.6401813795173542
joint_from_roberta,0,two_head_multitask,0.05058858153103818
joint_pretrained_on_source,0,two_head_multitask,0.4077329604182182
seq_pretrained_on_source,0,two_head_multitask,0.4077329604182182
