setup,shots,model,F1
only_target_from_roberta,0,vanilla,0.06866442454440917
only_target_from_roberta,5,vanilla,0.01889941819047536
only_target_from_roberta,10,vanilla,0.0010985117585204686
only_target_from_roberta,50,vanilla,0.6850734847919755
only_target_from_roberta,100,vanilla,0.7963149563287558
only_target_from_roberta,250,vanilla,0.84050290023093
only_target_from_roberta,500,vanilla,0.8607692307979492
seq_pretrained_on_source,5,vanilla,0.6802670039588784
seq_pretrained_on_source,10,vanilla,0.707012099689588
seq_pretrained_on_source,50,vanilla,0.7742126676639944
seq_pretrained_on_source,100,vanilla,0.8093268753502205
seq_pretrained_on_source,250,vanilla,0.8434779485121979
seq_pretrained_on_source,500,vanilla,0.862244882208592
seq_pretrained_on_source,0,vanilla,0.658459793739551
only_target_from_roberta,0,implicit_multitask,0.0898006503552279
only_target_from_roberta,5,implicit_multitask,0.046476033274310075
only_target_from_roberta,10,implicit_multitask,0.0019269012266227912
only_target_from_roberta,50,implicit_multitask,0.6953667371386616
only_target_from_roberta,100,implicit_multitask,0.7941613330389096
only_target_from_roberta,250,implicit_multitask,0.8444222394222278
only_target_from_roberta,500,implicit_multitask,0.8607720571277124
seq_pretrained_on_source,5,implicit_multitask,0.6809166679389096
seq_pretrained_on_source,10,implicit_multitask,0.7018752084077218
seq_pretrained_on_source,50,implicit_multitask,0.7753078297248657
seq_pretrained_on_source,100,implicit_multitask,0.809253372549738
seq_pretrained_on_source,250,implicit_multitask,0.8449643864801776
seq_pretrained_on_source,500,implicit_multitask,0.8605105254133656
seq_pretrained_on_source,0,implicit_multitask,0.6573755441860392
only_target_from_roberta,0,two_head_multitask,0.07711498978220888
only_target_from_roberta,5,two_head_multitask,0.08545496036243859
only_target_from_roberta,10,two_head_multitask,0.0073949252382175595
only_target_from_roberta,50,two_head_multitask,0.6485480224632494
only_target_from_roberta,100,two_head_multitask,0.7902292114544618
only_target_from_roberta,250,two_head_multitask,0.8349738503369551
only_target_from_roberta,500,two_head_multitask,0.8524409778282362
seq_pretrained_on_source,5,two_head_multitask,0.6664299048820232
seq_pretrained_on_source,10,two_head_multitask,0.6967659397671963
seq_pretrained_on_source,50,two_head_multitask,0.7601102160489328
seq_pretrained_on_source,100,two_head_multitask,0.7912549722212454
seq_pretrained_on_source,250,two_head_multitask,0.8279875737873397
seq_pretrained_on_source,500,two_head_multitask,0.8484122630646482
seq_pretrained_on_source,0,two_head_multitask,0.6590835875619846
