setup,shots,model,F1
only_target_from_roberta,0,vanilla,0.06866442454440917
joint_from_roberta,5,vanilla,0.6428883323928816
joint_from_roberta,10,vanilla,0.645238907756346
joint_from_roberta,50,vanilla,0.679390118978056
joint_from_roberta,100,vanilla,0.7147218181195131
joint_from_roberta,250,vanilla,0.7661309825256051
joint_from_roberta,500,vanilla,0.7927323213230988
joint_pretrained_on_source,5,vanilla,0.6305169897012658
joint_pretrained_on_source,10,vanilla,0.6322946223073922
joint_pretrained_on_source,50,vanilla,0.6495940300101304
joint_pretrained_on_source,100,vanilla,0.6758746308530764
joint_pretrained_on_source,250,vanilla,0.7269392539241615
joint_pretrained_on_source,500,vanilla,0.7702077918649135
only_target_from_roberta,5,vanilla,0.0
only_target_from_roberta,10,vanilla,0.0
only_target_from_roberta,50,vanilla,0.7680156484201843
only_target_from_roberta,100,vanilla,0.8066247746270059
only_target_from_roberta,250,vanilla,0.8448318233319722
only_target_from_roberta,500,vanilla,0.8579947700830546
seq_pretrained_on_source,5,vanilla,0.6594927606650162
seq_pretrained_on_source,10,vanilla,0.6882400356493695
seq_pretrained_on_source,50,vanilla,0.7499448115356837
seq_pretrained_on_source,100,vanilla,0.7864270172460888
seq_pretrained_on_source,250,vanilla,0.8241684496574786
seq_pretrained_on_source,500,vanilla,0.8517829577620922
joint_from_roberta,0,vanilla,0.06866442454440917
joint_pretrained_on_source,0,vanilla,0.6503180526655086
seq_pretrained_on_source,0,vanilla,0.6503180526655086
only_target_from_roberta,0,implicit_multitask,0.0898006503552279
joint_from_roberta,5,implicit_multitask,0.6433342362566059
joint_from_roberta,10,implicit_multitask,0.6454893501027171
joint_from_roberta,50,implicit_multitask,0.6810678815548548
joint_from_roberta,100,implicit_multitask,0.7211707198699516
joint_from_roberta,250,implicit_multitask,0.7672811284425676
joint_from_roberta,500,implicit_multitask,0.7981945074800194
joint_pretrained_on_source,5,implicit_multitask,0.6326278960661521
joint_pretrained_on_source,10,implicit_multitask,0.6339826375060267
joint_pretrained_on_source,50,implicit_multitask,0.6562104619762458
joint_pretrained_on_source,100,implicit_multitask,0.6840043599581052
joint_pretrained_on_source,250,implicit_multitask,0.7350396209410025
joint_pretrained_on_source,500,implicit_multitask,0.7773131133685149
only_target_from_roberta,5,implicit_multitask,0.0
only_target_from_roberta,10,implicit_multitask,0.0
only_target_from_roberta,50,implicit_multitask,0.773563582790226
only_target_from_roberta,100,implicit_multitask,0.8123593740070308
only_target_from_roberta,250,implicit_multitask,0.8466246650558313
only_target_from_roberta,500,implicit_multitask,0.8616769573374055
seq_pretrained_on_source,5,implicit_multitask,0.6611999609513826
seq_pretrained_on_source,10,implicit_multitask,0.6929015495614226
seq_pretrained_on_source,50,implicit_multitask,0.7638350462461008
seq_pretrained_on_source,100,implicit_multitask,0.7950386604823588
seq_pretrained_on_source,250,implicit_multitask,0.8346241031760517
seq_pretrained_on_source,500,implicit_multitask,0.8571361715748027
joint_from_roberta,0,implicit_multitask,0.0898006503552279
joint_pretrained_on_source,0,implicit_multitask,0.6504013070814998
seq_pretrained_on_source,0,implicit_multitask,0.6504013070814998
only_target_from_roberta,0,two_head_multitask,0.07711498978220888
joint_from_roberta,5,two_head_multitask,0.6543239718421744
joint_from_roberta,10,two_head_multitask,0.6580837969507922
joint_from_roberta,50,two_head_multitask,0.6866192511429172
joint_from_roberta,100,two_head_multitask,0.7247975565659839
joint_from_roberta,250,two_head_multitask,0.7653619444309183
joint_from_roberta,500,two_head_multitask,0.791924614402673
joint_pretrained_on_source,5,two_head_multitask,0.6363470504362638
joint_pretrained_on_source,10,two_head_multitask,0.637890171050281
joint_pretrained_on_source,50,two_head_multitask,0.6482540515140905
joint_pretrained_on_source,100,two_head_multitask,0.6665668516413441
joint_pretrained_on_source,250,two_head_multitask,0.7046278222364268
joint_pretrained_on_source,500,two_head_multitask,0.7443781639585184
only_target_from_roberta,5,two_head_multitask,0.0004036384683089851
only_target_from_roberta,10,two_head_multitask,0.0
only_target_from_roberta,50,two_head_multitask,0.7566879391980098
only_target_from_roberta,100,two_head_multitask,0.8014398906118015
only_target_from_roberta,250,two_head_multitask,0.8345852352751632
only_target_from_roberta,500,two_head_multitask,0.8543078548274546
seq_pretrained_on_source,5,two_head_multitask,0.6533067400120843
seq_pretrained_on_source,10,two_head_multitask,0.6800283495092808
seq_pretrained_on_source,50,two_head_multitask,0.740950145518612
seq_pretrained_on_source,100,two_head_multitask,0.772813544831228
seq_pretrained_on_source,250,two_head_multitask,0.8125303191409933
seq_pretrained_on_source,500,two_head_multitask,0.8364624489045227
joint_from_roberta,0,two_head_multitask,0.07711498978220888
joint_pretrained_on_source,0,two_head_multitask,0.6531967755923822
seq_pretrained_on_source,0,two_head_multitask,0.6531967755923822
